Year,Area,CancerType,AgeAdjustedRate,lci,uci,DeathCount,Population
2004,Hawaii,Lung and Bronchus,37.7,34.5,41.1,523,1273569
2004,California,Lung and Bronchus,42.7,42,43.5,13399,35574576
2004,Wyoming,Lung and Bronchus,40.2,34.9,46.2,205,509106
2004,Idaho,Lung and Bronchus,41.2,37.8,44.9,535,1391802
2004,Arizona,Lung and Bronchus,46.2,44.5,48,2687,5652404
2004,South Dakota,Lung and Bronchus,49.5,44.9,54.5,424,770396
2004,Texas,Lung and Bronchus,52.3,51.3,53.4,9697,22394023
2004,Vermont,Lung and Bronchus,48.3,43.1,53.8,327,619920
2004,Washington,Lung and Bronchus,52.2,50.4,54.1,3066,6178645
2004,Connecticut,Lung and Bronchus,49.7,47.5,52,1927,3496094
2004,District of Columbia,Lung and Bronchus,50.7,44.9,57,283,567754
2004,New Jersey,Lung and Bronchus,48.9,47.5,50.4,4487,8634561
2004,New York,Lung and Bronchus,46.4,45.4,47.3,9384,19171567
2004,North Dakota,Lung and Bronchus,48.2,43.3,53.6,358,644705
2004,Wisconsin,Lung and Bronchus,50,48.2,51.8,2905,5514026
2004,Nebraska,Lung and Bronchus,47.5,44.4,50.8,877,1749370
2004,Montana,Lung and Bronchus,48.6,44.5,53.1,503,930009
2004,Minnesota,Lung and Bronchus,46.9,45,48.9,2355,5087713
2004,Massachusetts,Lung and Bronchus,52.2,50.5,54,3612,6412281
2004,Arkansas,Lung and Bronchus,68.7,65.8,71.7,2100,2749686
2004,Alaska,Lung and Bronchus,58.1,50.4,66.6,229,659286
2004,Alabama,Lung and Bronchus,62.9,60.7,65.2,3051,4530729
2004,Pennsylvania,Lung and Bronchus,53.2,52.1,54.4,7973,12410722
2004,Rhode Island,Lung and Bronchus,55.4,51.2,59.8,669,1074579
2004,South Carolina,Lung and Bronchus,57.9,55.6,60.2,2503,4210921
2004,Tennessee,Lung and Bronchus,68,66,70.1,4170,5910809
2004,Nevada,Lung and Bronchus,56.5,53.4,59.9,1239,2346222
2004,Virginia,Lung and Bronchus,56.3,54.5,58.1,3992,7475575
2004,Delaware,Lung and Bronchus,65.8,60.5,71.4,583,830803
2004,Florida,Lung and Bronchus,53.7,52.7,54.6,12065,17415318
2004,New Hampshire,Lung and Bronchus,56.5,52.4,60.8,731,1290121
2004,North Carolina,Lung and Bronchus,58.6,57,60.2,5033,8553152
2004,Ohio,Lung and Bronchus,60.2,58.9,61.6,7427,11452251
2004,Oklahoma,Lung and Bronchus,63.1,60.5,65.7,2359,3525233
2004,Oregon,Lung and Bronchus,54.4,52.1,56.8,2067,3569463
2004,West Virginia,Lung and Bronchus,65.7,62.4,69.2,1469,1816438
2004,Mississippi,Lung and Bronchus,68.5,65.5,71.6,1969,2889010
2004,Missouri,Lung and Bronchus,65.3,63.3,67.4,4033,5747741
2004,Michigan,Lung and Bronchus,56.7,55.3,58.2,5824,10055315
2004,Maryland,Lung and Bronchus,53.4,51.4,55.4,2845,5546935
2004,Louisiana,Lung and Bronchus,66.6,64.2,69.1,2916,4552238
2004,Maine,Lung and Bronchus,61.5,57.7,65.6,951,1313688
2004,Kentucky,Lung and Bronchus,77.2,74.5,79.8,3314,4146101
2004,Iowa,Lung and Bronchus,53.6,51.2,56.1,1823,2953635
2004,Kansas,Lung and Bronchus,54,51.4,56.8,1544,2734373
2004,Illinois,Lung and Bronchus,55,53.7,56.3,6804,12589773
2004,Indiana,Lung and Bronchus,60.8,58.9,62.8,3825,6233007
2004,Georgia,Lung and Bronchus,59,57.2,60.8,4313,8769252
2005,Utah,Lung and Bronchus,24.4,22.2,26.8,433,2457719
2005,New Mexico,Lung and Bronchus,36.4,33.8,39.2,705,1932274
2005,Colorado,Lung and Bronchus,39,37,41,1528,4631888
2005,Minnesota,Lung and Bronchus,44.7,42.8,46.6,2282,5119598
2005,North Dakota,Lung and Bronchus,42.3,37.7,47.3,310,646089
2005,Hawaii,Lung and Bronchus,40,36.8,43.5,572,1292729
2005,Arizona,Lung and Bronchus,43.8,42.1,45.5,2648,5839077
2005,California,Lung and Bronchus,41.9,41.2,42.6,13345,35827943
2005,Massachusetts,Lung and Bronchus,52.4,50.7,54.2,3638,6403290
2005,Montana,Lung and Bronchus,52.5,48.2,57.2,550,940102
2005,Nebraska,Lung and Bronchus,48.4,45.3,51.7,905,1761497
2005,New York,Lung and Bronchus,45.8,44.8,46.7,9307,19132610
2005,New Jersey,Lung and Bronchus,48.3,46.9,49.7,4452,8651974
2005,Florida,Lung and Bronchus,52.6,51.6,53.5,12104,17842038
2005,Idaho,Lung and Bronchus,45.7,42.2,49.5,612,1428241
2005,Illinois,Lung and Bronchus,53,51.7,54.3,6613,12609903
2005,Rhode Island,Lung and Bronchus,50.8,46.8,55,610,1067916
2005,Texas,Lung and Bronchus,51,49.9,52,9684,22773020
2005,Washington,Lung and Bronchus,51.9,50.1,53.8,3127,6257305
2005,Vermont,Lung and Bronchus,49.5,44.3,55.1,336,621215
2005,Wisconsin,Lung and Bronchus,48.3,46.6,50.1,2857,5546166
2005,Wyoming,Lung and Bronchus,47.8,42,54.2,251,514157
